VideoNo,PositivePercent,NegativePercent,AngerPercent,AnticipationPercent,DisgustPercent,FearPercent,JoyPercent,SadnessPercent,SurprisePercent,TrustPercent,VideoFrame
365,0.103019129,0.085964508,0.031574095,0.035492049,0.031574095,0.048398248,0.035952985,0.037105324,0.030652224,0.060382577,3
366,0.083419156,0.121524202,0.038105046,0.038105046,0.023686921,0.092687951,0.032955716,0.077239959,0.028836251,0.05561277,2
367,0.103252033,0.150406504,0.061788618,0.063414634,0.061788618,0.092682927,0.039837398,0.081300813,0.029268293,0.069105691,2
368,0.075801749,0.113702624,0.037900875,0.040816327,0.075801749,0.040816327,0.008746356,0.034985423,0.020408163,0.049562682,3
369,0.099137931,0.200431034,0.025862069,0.049568966,0.056034483,0.157327586,0.043103448,0.068965517,0.028017241,0.064655172,2
370,0.085714286,0.096428571,0.036607143,0.039285714,0.03125,0.064285714,0.025,0.047321429,0.024107143,0.041071429,2
371,0.170860927,0.113907285,0.052980132,0.080794702,0.035761589,0.066225166,0.033112583,0.043708609,0.030463576,0.076821192,3
372,0.130733945,0.133027523,0.048165138,0.055045872,0.052752294,0.084862385,0.050458716,0.084862385,0.050458716,0.055045872,2
373,0.084210526,0.065789474,0.042105263,0.015789474,0.026315789,0.031578947,0.026315789,0.028947368,0.015789474,0.031578947,8
376,0.085603113,0.167315175,0.038910506,0.058365759,0.038910506,0.120622568,0.027237354,0.062256809,0.027237354,0.062256809,2
377,0.090206186,0.144329897,0.056701031,0.041237113,0.028350515,0.079896907,0.012886598,0.056701031,0.005154639,0.030927835,3
379,0.165876777,0.17535545,0.071090047,0.075829384,0.056872038,0.09478673,0.123222749,0.137440758,0.037914692,0.090047393,8
382,0.110927152,0.094370861,0.046357616,0.03807947,0.049668874,0.052980132,0.01986755,0.039735099,0.021523179,0.067880795,3
384,0.086538462,0.105769231,0.044871795,0.028846154,0.041666667,0.03525641,0.038461538,0.057692308,0.022435897,0.076923077,6
390,0.10367893,0.147157191,0.10367893,0.026755853,0.120401338,0.073578595,0.023411371,0.076923077,0.026755853,0.063545151,3
395,0.150268336,0.119856887,0.04293381,0.078711986,0.033989267,0.04293381,0.082289803,0.060822898,0.051878354,0.107334526,2
396,0.1366765,0.102261554,0.042281219,0.059980334,0.030481809,0.053097345,0.038348083,0.04719764,0.036381514,0.084562439,3
399,0.126651481,0.076537585,0.033712984,0.040091116,0.033712984,0.039635535,0.024601367,0.040546697,0.017767654,0.076082005,3
402,0.090206186,0.103092784,0.054123711,0.048969072,0.036082474,0.077319588,0.018041237,0.074742268,0.020618557,0.059278351,3
419,0.107940942,0.102753392,0.048084597,0.042498005,0.039106145,0.063447725,0.026536313,0.054668795,0.023543496,0.052274541,3
420,0.099794942,0.092959672,0.049213944,0.060833903,0.037593985,0.064935065,0.032809296,0.057416268,0.015037594,0.099794942,2
